time	V(input_signal)	V(v_out)
5.729548126369808e-05	2.864774e-01	2.396269e-03
5.731710316761119e-05	2.865855e-01	2.404136e-03
5.734953246435642e-05	2.867477e-01	2.416424e-03
5.738258005728035e-05	2.869129e-01	2.429429e-03
5.742429849040597e-05	2.871215e-01	2.446780e-03
5.747840916716575e-05	2.873921e-01	2.471070e-03
5.753401018061152e-05	2.876700e-01	2.498183e-03
5.760329049245903e-05	2.880164e-01	2.534647e-03
5.768482589700542e-05	2.884241e-01	2.579588e-03
5.776120478434447e-05	2.888060e-01	2.621985e-03
5.781734911001324e-05	2.890868e-01	2.652319e-03
5.787244028083698e-05	2.893622e-01	2.680918e-03
5.793684732163797e-05	2.896842e-01	2.712862e-03
5.807083659112260e-05	2.903542e-01	2.775030e-03
5.813247923206047e-05	2.906624e-01	2.803400e-03
5.819328701462566e-05	2.909664e-01	2.832073e-03
5.826118304749957e-05	2.913059e-01	2.865213e-03
5.842663404286478e-05	2.921332e-01	2.950854e-03
5.854175111266652e-05	2.927088e-01	3.012654e-03
5.861650520391339e-05	2.930825e-01	3.052577e-03
5.867547176277041e-05	2.933774e-01	3.083241e-03
5.881672825293371e-05	2.940837e-01	3.154187e-03
5.891489101127339e-05	2.945745e-01	3.202739e-03
5.899054220856996e-05	2.949527e-01	3.240564e-03
5.926279989760504e-05	2.963140e-01	3.382656e-03
5.936271756912855e-05	2.968136e-01	3.435555e-03
5.947583813206318e-05	2.973792e-01	3.495204e-03
5.971992847356853e-05	2.985996e-01	3.620916e-03
5.982582997143934e-05	2.991292e-01	3.675114e-03
6.013694210132440e-05	3.006847e-01	3.838970e-03
6.032772629394380e-05	3.016386e-01	3.938958e-03
6.049656188025090e-05	3.024828e-01	4.026275e-03
6.052687193797164e-05	3.026344e-01	4.042125e-03
6.054735662948700e-05	3.027368e-01	4.053007e-03
6.056360909816509e-05	3.028181e-01	4.061872e-03
6.058087871639055e-05	3.029044e-01	4.071905e-03
6.059742553510155e-05	3.029871e-01	4.082525e-03
6.061799865971761e-05	3.030900e-01	4.097193e-03
6.064620901333758e-05	3.032310e-01	4.119697e-03
6.075023583922223e-05	3.037512e-01	4.220249e-03
6.082759303913698e-05	3.041380e-01	4.305950e-03
6.090282289280841e-05	3.045141e-01	4.391856e-03
6.095376684077671e-05	3.047688e-01	4.448769e-03
6.099418605339076e-05	3.049709e-01	4.491404e-03
6.103080292941876e-05	3.051540e-01	4.527343e-03
6.108874750352067e-05	3.054437e-01	4.578397e-03
6.122462736624897e-05	3.061231e-01	4.674842e-03
6.125541050601393e-05	3.062771e-01	4.694415e-03
6.128152654069233e-05	3.064076e-01	4.711005e-03
6.131100860754751e-05	3.065550e-01	4.729986e-03
6.134021664706221e-05	3.067011e-01	4.749413e-03
6.138693991972305e-05	3.069347e-01	4.782492e-03
6.143596357769985e-05	3.071798e-01	4.820539e-03
6.149834285520885e-05	3.074917e-01	4.874544e-03
