time	V(input_signal)	V(v_out)	I(Speaker)
2.083272326576216e-06	2.526178e+00	2.074260e+00	2.592824e-01
2.256551149428020e-06	2.528356e+00	2.074413e+00	2.593016e-01
2.327485895372773e-06	2.529247e+00	2.074537e+00	2.593172e-01
2.382320886769810e-06	2.529936e+00	2.074666e+00	2.593333e-01
2.443394509376192e-06	2.530703e+00	2.074851e+00	2.593564e-01
2.598490740605623e-06	2.532652e+00	2.075543e+00	2.594429e-01
2.760901255273621e-06	2.534693e+00	2.076502e+00	2.595628e-01
2.885827569242090e-06	2.536262e+00	2.077284e+00	2.596605e-01
2.948093022257540e-06	2.537045e+00	2.077649e+00	2.597061e-01
3.010358475272991e-06	2.537827e+00	2.077973e+00	2.597466e-01
3.072623928288442e-06	2.538609e+00	2.078256e+00	2.597820e-01
3.134889381303893e-06	2.539392e+00	2.078499e+00	2.598123e-01
3.197154834319344e-06	2.540174e+00	2.078700e+00	2.598375e-01
3.259420287334795e-06	2.540956e+00	2.078861e+00	2.598577e-01
3.321685740350245e-06	2.541739e+00	2.078981e+00	2.598727e-01
3.336782848872884e-06	2.541928e+00	2.079007e+00	2.598759e-01
3.401585725437748e-06	2.542742e+00	2.079084e+00	2.598855e-01
3.466388602002613e-06	2.543556e+00	2.079188e+00	2.598985e-01
3.531191478567476e-06	2.544371e+00	2.079319e+00	2.599148e-01
3.595994355132341e-06	2.545185e+00	2.079477e+00	2.599346e-01
3.660797231697205e-06	2.545999e+00	2.079662e+00	2.599577e-01
3.725600108262069e-06	2.546813e+00	2.079874e+00	2.599842e-01
3.790402984826933e-06	2.547627e+00	2.080113e+00	2.600141e-01
3.882566055230806e-06	2.548785e+00	2.080543e+00	2.600679e-01
3.930164263992142e-06	2.549383e+00	2.080792e+00	2.600991e-01
3.970015937064577e-06	2.549884e+00	2.081019e+00	2.601274e-01
4.057440690927903e-06	2.550982e+00	2.081617e+00	2.602021e-01
4.144865444791229e-06	2.552080e+00	2.082203e+00	2.602754e-01
4.232290198654555e-06	2.553178e+00	2.082779e+00	2.603474e-01
4.319714952517881e-06	2.554276e+00	2.083344e+00	2.604180e-01
4.407139706381208e-06	2.555375e+00	2.083898e+00	2.604873e-01
4.494564460244534e-06	2.556473e+00	2.084442e+00	2.605552e-01
4.581989214107860e-06	2.557571e+00	2.084974e+00	2.606218e-01
4.673964691033318e-06	2.558726e+00	2.085359e+00	2.606699e-01
4.765940167958775e-06	2.559882e+00	2.085749e+00	2.607187e-01
4.857915644884233e-06	2.561037e+00	2.086145e+00	2.607682e-01
