time	V(dac_out)	V(after_filter)
4.125140870595010e-06	3.457031e+00	2.707959e+00
4.135140870595010e-06	3.461914e+00	2.708888e+00
4.145140870595010e-06	3.471680e+00	2.709817e+00
4.155140870595010e-06	3.476562e+00	2.710750e+00
4.215140870595009e-06	3.476562e+00	2.716387e+00
4.225140870595009e-06	3.481445e+00	2.717334e+00
4.235140870595009e-06	3.491211e+00	2.718284e+00
4.245140870595009e-06	3.496094e+00	2.719235e+00
4.305140870595008e-06	3.496094e+00	2.724967e+00
4.315140870595008e-06	3.500977e+00	2.725928e+00
4.325140870595008e-06	3.510742e+00	2.726889e+00
4.335140870595008e-06	3.515625e+00	2.727852e+00
4.405140870595007e-06	3.515625e+00	2.734620e+00
4.415140870595007e-06	3.520508e+00	2.735590e+00
4.425140870595007e-06	3.530273e+00	2.736562e+00
4.435140870595007e-06	3.535156e+00	2.737536e+00
4.495140870595007e-06	3.535156e+00	2.743382e+00
4.505140870595006e-06	3.540039e+00	2.744357e+00
4.515140870595006e-06	3.549805e+00	2.745333e+00
4.525140870595006e-06	3.554688e+00	2.746311e+00
4.585140870595006e-06	3.554688e+00	2.752182e+00
4.595140870595006e-06	3.559570e+00	2.753163e+00
4.605140870595005e-06	3.569336e+00	2.754144e+00
4.615140870595005e-06	3.574219e+00	2.755125e+00
4.685140870595005e-06	3.574219e+00	2.762003e+00
4.695140870595005e-06	3.579102e+00	2.762986e+00
4.705140870595005e-06	3.588867e+00	2.763971e+00
4.718890870595005e-06	3.593750e+00	2.765328e+00
4.747640870595005e-06	3.593750e+00	2.768166e+00
4.762640870595005e-06	3.593750e+00	2.769652e+00
4.782640870595005e-06	3.593750e+00	2.771633e+00
4.792640870595005e-06	3.598633e+00	2.772625e+00
4.802640870595005e-06	3.608398e+00	2.773619e+00
4.812640870595005e-06	3.613281e+00	2.774613e+00
4.883890870595004e-06	3.613281e+00	2.781722e+00
4.891390870595005e-06	3.626302e+00	2.782475e+00
4.901390870595005e-06	3.632812e+00	2.783483e+00
4.911390870595004e-06	3.632812e+00	2.784488e+00
4.921390870595004e-06	3.632812e+00	2.785496e+00
4.931390870595004e-06	3.632812e+00	2.786505e+00
4.941390870595004e-06	3.632812e+00	2.787515e+00
4.951390870595004e-06	3.632812e+00	2.788528e+00
4.961390870595004e-06	3.632812e+00	2.789542e+00
4.971390870595004e-06	3.632812e+00	2.790558e+00
4.981390870595004e-06	3.637695e+00	2.791574e+00
4.991390870595004e-06	3.647461e+00	2.792592e+00
5.001390870595004e-06	3.652344e+00	2.793611e+00
5.071390870595003e-06	3.652344e+00	2.800808e+00
5.081390870595003e-06	3.657227e+00	2.801843e+00
5.091390870595003e-06	3.666992e+00	2.802881e+00
5.101390870595003e-06	3.671875e+00	2.803921e+00
5.171390870595002e-06	3.671875e+00	2.811250e+00
5.181390870595002e-06	3.676758e+00	2.812305e+00
5.191390870595002e-06	3.686523e+00	2.813362e+00
5.201390870595002e-06	3.691406e+00	2.814421e+00
5.271390870595001e-06	3.691406e+00	2.821883e+00
5.281390870595001e-06	3.696289e+00	2.822957e+00
5.291390870595001e-06	3.706055e+00	2.824032e+00
5.301390870595001e-06	3.710938e+00	2.825108e+00
5.371390870595000e-06	3.710938e+00	2.832685e+00
5.381390870595000e-06	3.715820e+00	2.833772e+00
5.391390870595000e-06	3.725586e+00	2.834862e+00
5.401390870595000e-06	3.730469e+00	2.835953e+00
5.471390870594999e-06	3.730469e+00	2.843617e+00
5.481390870594999e-06	3.735352e+00	2.844715e+00
5.491390870594999e-06	3.745117e+00	2.845814e+00
5.501390870594999e-06	3.750000e+00	2.846915e+00
5.571390870594998e-06	3.750000e+00	2.854637e+00
5.581390870594998e-06	3.754883e+00	2.855743e+00
5.591390870594998e-06	3.764648e+00	2.856849e+00
5.601390870594998e-06	3.769531e+00	2.857955e+00
5.681390870594997e-06	3.769531e+00	2.866818e+00
5.691390870594997e-06	3.774414e+00	2.867927e+00
5.701390870594997e-06	3.784180e+00	2.869037e+00
5.711390870594997e-06	3.789062e+00	2.870147e+00
5.781390870594996e-06	3.789062e+00	2.877922e+00
5.791390870594996e-06	3.793945e+00	2.879034e+00
5.801390870594996e-06	3.803711e+00	2.880146e+00
5.811390870594996e-06	3.808594e+00	2.881257e+00
5.832640870594996e-06	3.808594e+00	2.883618e+00
5.840140870594996e-06	3.808594e+00	2.884453e+00
5.890140870594996e-06	3.808594e+00	2.890021e+00
5.900140870594996e-06	3.813477e+00	2.891136e+00
5.910140870594996e-06	3.823242e+00	2.892251e+00
5.920140870594995e-06	3.828125e+00	2.893367e+00
6.000140870594995e-06	3.828125e+00	2.902314e+00
6.010140870594995e-06	3.833008e+00	2.903435e+00
6.020140870594994e-06	3.842773e+00	2.904558e+00
6.030140870594994e-06	3.847656e+00	2.905681e+00
6.042105156309280e-06	3.847656e+00	2.907027e+00
6.054069442023565e-06	3.847656e+00	2.908374e+00
6.066033727737851e-06	3.847656e+00	2.909722e+00
6.077998013452137e-06	3.847656e+00	2.911071e+00
6.089962299166423e-06	3.847656e+00	2.912421e+00
6.101926584880708e-06	3.847656e+00	2.913771e+00
6.113890870594994e-06	3.847656e+00	2.915123e+00
6.118890870594994e-06	3.850911e+00	2.915689e+00
6.128890870594994e-06	3.862305e+00	2.916823e+00
6.138890870594994e-06	3.867188e+00	2.917955e+00
6.150319442023566e-06	3.867188e+00	2.919254e+00
6.161748013452136e-06	3.867188e+00	2.920553e+00
6.173176584880708e-06	3.867188e+00	2.921854e+00
6.184605156309279e-06	3.867188e+00	2.923156e+00
6.196033727737851e-06	3.867188e+00	2.924459e+00
6.207462299166422e-06	3.867188e+00	2.925763e+00
6.218890870594993e-06	3.867188e+00	2.927069e+00
6.228890870594993e-06	3.872070e+00	2.928215e+00
6.238890870594993e-06	3.881836e+00	2.929362e+00
6.248890870594993e-06	3.886719e+00	2.930508e+00
6.328890870594992e-06	3.886719e+00	2.939737e+00
6.338890870594992e-06	3.891602e+00	2.940896e+00
6.348890870594992e-06	3.901367e+00	2.942056e+00
6.358890870594992e-06	3.906250e+00	2.943217e+00
6.366212299166421e-06	3.906250e+00	2.944068e+00
6.373533727737849e-06	3.906250e+00	2.944920e+00
6.380855156309278e-06	3.906250e+00	2.945773e+00
6.388176584880706e-06	3.906250e+00	2.946627e+00
6.395498013452135e-06	3.906250e+00	2.947481e+00
6.402819442023563e-06	3.906250e+00	2.948337e+00
6.410140870594992e-06	3.906250e+00	2.949193e+00
6.412640870594992e-06	3.906250e+00	2.949485e+00
6.418890870594992e-06	3.905125e+00	2.950217e+00
6.425140870594992e-06	3.905073e+00	2.950949e+00
6.431390870594992e-06	3.906093e+00	2.951682e+00
6.437640870594992e-06	3.908185e+00	2.952415e+00
6.443890870594992e-06	3.911351e+00	2.953148e+00
6.450140870594992e-06	3.915588e+00	2.953882e+00
6.456390870594992e-06	3.920898e+00	2.954616e+00
6.466390870594992e-06	3.925781e+00	2.955791e+00
6.479069442023564e-06	3.925781e+00	2.957282e+00
6.491748013452135e-06	3.925781e+00	2.958775e+00
6.504426584880707e-06	3.925781e+00	2.960269e+00
6.517105156309277e-06	3.925781e+00	2.961766e+00
6.529783727737849e-06	3.925781e+00	2.963265e+00
6.542462299166420e-06	3.925781e+00	2.964766e+00
6.555140870594992e-06	3.925781e+00	2.966269e+00
6.565140870594992e-06	3.930664e+00	2.967452e+00
6.575140870594992e-06	3.940430e+00	2.968637e+00
6.585140870594992e-06	3.945312e+00	2.969823e+00
6.665140870594991e-06	3.945312e+00	2.979342e+00
6.675140870594991e-06	3.950195e+00	2.980534e+00
6.685140870594991e-06	3.959961e+00	2.981726e+00
6.705140870594990e-06	3.964844e+00	2.984109e+00
6.785140870594990e-06	3.964844e+00	2.993666e+00
6.795140870594990e-06	3.969727e+00	2.994863e+00
6.815140870594989e-06	3.984375e+00	2.997256e+00
6.905140870594989e-06	3.984375e+00	3.008021e+00
6.915140870594988e-06	3.989258e+00	3.009217e+00
6.926390870594989e-06	4.003906e+00	3.010560e+00
6.933890870594989e-06	4.003906e+00	3.011458e+00
6.946748013452131e-06	4.003906e+00	3.012997e+00
6.959605156309274e-06	4.003906e+00	3.014536e+00
6.972462299166417e-06	4.003906e+00	3.016075e+00
6.985319442023560e-06	4.003906e+00	3.017614e+00
6.998176584880702e-06	4.003906e+00	3.019152e+00
7.011033727737846e-06	4.003906e+00	3.020690e+00
7.023890870594988e-06	4.003906e+00	3.022229e+00
7.053890870594988e-06	4.023438e+00	3.025816e+00
