time	V(in)	V(out1)	V(out2)
4.999056454470785e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.999241694530876e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.999427353686126e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.999612873142989e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.999798113203080e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.999983446395428e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.000168965852292e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.000354531875284e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.000539865067632e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.000725384524496e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.000910624584587e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.001096283739837e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.001281803196700e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.001467043256791e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.001652376449139e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.001837895906003e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.002023461928995e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.002208795121343e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.002394314578207e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.002579554638298e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.002765213793547e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.002950733250411e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.003135973310502e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.003321306502850e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.003506825959714e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.003692391982706e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.003877725175054e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.004063244631918e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.004248484692009e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.004434143847258e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.004619663304122e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.004804903364213e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.004990236556561e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.005175756013425e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.005361322036417e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.005546655228765e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.005732174685629e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.005917414745720e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.006103073900969e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.006288593357833e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.006473833417924e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.006659166610272e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.006844686067136e-02	2.500000e+00	0.000000e+00	4.973475e+00
